name,ticker,currency,spot,mc_median,mc_p10,mc_p90,p_up,kelly,asymmetry,expected_return,cvar10,var10,rdcf_gap,price_pct,mom_12m,vol_1y,composite,oe_spread_bp,oe_yield,pe_ttm,consensus_pt,pt_gap,mcap_m,verdict_i,tally_bull,tally_mixed,tally_bear,bull_y10_fv,bull_price_cagr,bull_pv,has_bull_case,html_file,report_exists,build_date,asof,report_href
konecranes,KCR.HE,€,27.26,27.54,21.51,34.31,0.5216,0.1128,1.276,0.0176,-0.278,-0.2109,-0.0398,0.9045,0.3178,0.3986,0.4457,517.7,0.0772,16.23,34.0,0.2472,6478.1,mixed,3,10,0,81.76,0.1161,40.61,True,konecranes-pipeline.html,True,2026-07-20,2026-07-20 11:06,../stocks/konecranes-pipeline.html
neste,NESTE.HE,€,33.14,23.62,15.76,32.02,0.0737,-3.0897,0.023,-0.2815,-0.594,-0.5244,0.2222,0.646,1.6763,0.4218,0.5382,43.6,0.0298,184.11,29.85,-0.0993,25491.6,bear,1,10,2,,,,False,neste-analytics-pipeline.html,True,2026-07-20,2026-07-20 11:06,../stocks/neste-analytics-pipeline.html
sampo,SAMPO.HE,€,9.69,9.06,7.46,10.9,0.3225,-0.5992,0.35,-0.0588,-0.2815,-0.23,0.0243,0.9865,0.0718,0.165,0.5112,291.0,0.0545,15.63,10.5,0.0834,25683.8,bear,2,7,1,,,,False,sampo-pipeline.html,True,2026-07-20,2026-07-20 11:06,../stocks/sampo-pipeline.html
mandatum,MANTA.HE,€,5.55,5.79,4.77,6.92,0.6148,0.3454,2.282,0.0486,-0.1985,-0.1411,-0.025,0.8097,0.1138,0.2266,0.4896,824.1,0.1078,15.86,5.5,-0.009,2791.7,bull,2,7,1,,,,False,mandatum-pipeline.html,True,2026-07-20,2026-07-20 11:06,../stocks/mandatum-pipeline.html
orion,ORNBV.HE,€,74.5,72.55,63.11,83.13,0.4052,-0.2658,0.604,-0.0212,-0.1915,-0.1529,0.104,0.9976,0.1537,0.3354,0.3965,-45.9,0.0208,19.81,75.13,0.0085,10481.4,bear,3,5,4,,,,False,orion-pipeline.html,True,2026-07-20,2026-07-20 11:06,../stocks/orion-pipeline.html
kesko,KESKOB.HE,€,19.86,20.16,17.3,23.37,0.5533,0.1969,1.553,0.0206,-0.1725,-0.1287,0.0553,0.7987,0.0207,0.2046,0.482,222.8,0.0477,19.28,20.83,0.0488,7905.9,bull,2,8,0,,,,False,kesko-pipeline.html,True,2026-07-20,2026-07-20 11:06,../stocks/kesko-pipeline.html
spacex,SPCX,$,123.99,149.97,104.34,205.15,0.7555,0.6512,7.243,0.2317,-0.2645,-0.1585,-0.0643,0.0417,,,0.6021,-284.1,-0.003,-42.17,187.8,0.5146,1632948.3,bull,1,11,2,,,,False,spacex-analytics-pipeline.html,True,2026-07-20,2026-07-20 11:06,../stocks/spacex-analytics-pipeline.html
amazon,AMZN,$,247.23,222.68,183.25,264.04,0.2173,-1.3052,0.143,-0.0973,-0.307,-0.2588,0.1607,0.9625,0.1077,0.3112,0.4431,-263.3,-0.0009,29.57,313.0,0.266,2679231.5,bear,1,8,1,,,,False,amazon-pipeline.html,True,2026-07-20,2026-07-20 11:06,../stocks/amazon-pipeline.html
tesla,TSLA,$,380.84,378.42,236.3,550.68,0.4924,0.0563,1.129,0.0156,-0.4852,-0.3795,1.55,0.8104,0.1839,0.4463,0.3556,-207.7,0.0046,349.39,415.0,0.0897,1336748.4,mixed,0,11,3,,,,False,tesla-pipeline.html,True,2026-07-20,2026-07-20 11:06,../stocks/tesla-pipeline.html
terveystalo,TTALO.HE,€,7.26,8.28,6.42,10.08,0.7531,0.6304,6.136,0.1392,-0.1944,-0.1157,-0.1433,0.3134,-0.3407,0.2571,0.5057,1660.0,0.1914,11.34,9.4,0.2948,919.5,bull,3,6,1,,,,False,terveystalo-pipeline.html,True,2026-07-20,2026-07-20 11:06,../stocks/terveystalo-pipeline.html
micron,MU,$,848.95,826.63,560.9,1169.23,0.4625,0.0002,1.0,0.0,-0.4267,-0.3393,0.0073,0.9705,6.3032,0.7565,0.4324,-174.4,0.008,19.19,1491.95,0.7574,958804.1,mixed,3,10,0,1816.25,0.079,658.42,True,micron-pipeline.html,True,2026-07-20,2026-07-20 11:06,../stocks/micron-pipeline.html
investor,INVE-B.ST,kr,397.0,371.07,326.05,418.78,0.2434,-1.1686,0.172,-0.0634,-0.2136,-0.1787,0.9375,0.9944,0.395,0.1723,0.5633,-114.3,0.014,4.63,393.8,-0.0081,1215971.3,bear,6,7,1,1225.89,0.1194,576.48,True,investor-pipeline.html,True,2026-07-20,2026-07-20 11:06,../stocks/investor-pipeline.html
inission,INISS-B.ST,kr,68.4,58.55,35.07,84.75,0.3136,-0.6885,0.313,-0.1331,-0.5922,-0.4872,0.0174,0.9594,0.8399,0.3459,0.4474,716.3,0.097,25.33,75.0,0.0965,1576.6,bear,4,6,1,320.64,0.1671,136.7,True,inission-pipeline.html,True,2026-07-20,2026-07-20 11:06,../stocks/inission-pipeline.html
te,TEL,$,203.31,182.98,141.41,230.05,0.2823,-0.8191,0.256,-0.0931,-0.3682,-0.3045,0.0688,0.8422,0.1648,0.348,0.4673,276.3,0.053,20.77,260.0,0.2788,60383.1,mixed,4,7,0,555.63,0.1058,256.52,True,te-pipeline.html,True,2026-07-20,2026-07-20 11:06,../stocks/te-pipeline.html
